edge,includes,includedby,sum
/media/ullmann/hdd/research/engines/godot/modules/webrtc/webrtc_data_channel_gdnative.h,2,4,6
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/autofit/afscript.h,0,5,5
/media/ullmann/hdd/research/engines/godot/editor/plugins/spatial_editor_plugin.cpp,23,0,23
/media/ullmann/hdd/research/engines/godot/editor/plugins/animation_player_editor_plugin.h,7,8,15
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/kernels/geometry/subdivpatch1.h,2,5,7
/media/ullmann/hdd/research/engines/godot/thirdparty/opus/celt/bands.c,10,0,10
/media/ullmann/hdd/research/engines/godot/thirdparty/opus/celt/cwrs.h,4,5,9
/media/ullmann/hdd/research/engines/godot/editor/plugins/path_editor_plugin.h,2,2,4
/media/ullmann/hdd/research/engines/godot/editor/plugins/editor_preview_plugins.h,2,2,4
/media/ullmann/hdd/research/engines/godot/drivers/pulseaudio/audio_driver_pulseaudio.h,4,2,6
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/common/simd/simd.h,4,4,8
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/common/simd/avx.h,13,5,18
/media/ullmann/hdd/research/engines/godot/editor/plugins/polygon_2d_editor_plugin.cpp,8,0,8
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/BulletCollision/CollisionDispatch/btBoxBoxDetector.cpp,1,1,2
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/BulletCollision/CollisionDispatch/btBoxBoxDetector.h,0,2,2
/media/ullmann/hdd/research/engines/godot/modules/gdnative/pluginscript/pluginscript_language.cpp,5,0,5
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/mkl-dnn/src/cpu/jit_uni_i8i8_pooling.hpp,4,1,5
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/mkl-dnn/src/cpu/cpu_isa_traits.hpp,2,8,10
/media/ullmann/hdd/research/engines/godot/modules/register_module_types.gen.cpp,48,0,48
/media/ullmann/hdd/research/engines/godot/modules/upnp/register_types.h,0,2,2
/media/ullmann/hdd/research/engines/godot/thirdparty/enet/godot.cpp,7,0,7
/media/ullmann/hdd/research/engines/godot/core/io/udp_server.h,2,4,6
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/kernels/geometry/subgrid_mb_intersector.h,1,1,2
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/kernels/geometry/subgrid_intersector.h,3,2,5
/media/ullmann/hdd/research/engines/godot/modules/fbx/data/pivot_transform.h,5,3,8
/media/ullmann/hdd/research/engines/godot/modules/fbx/data/model_abstraction.h,1,3,4
/media/ullmann/hdd/research/engines/godot/modules/mono/glue/collections_glue.cpp,4,0,4
/media/ullmann/hdd/research/engines/godot/modules/mono/glue/collections_glue.h,2,2,4
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/mkl-dnn/src/cpu/gemm_inner_product.hpp,3,1,4
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/mkl-dnn/src/cpu/cpu_primitive.hpp,0,45,45
/media/ullmann/hdd/research/engines/godot/core/object.cpp,10,0,10
/media/ullmann/hdd/research/engines/godot/core/resource.h,6,62,68
/media/ullmann/hdd/research/engines/godot/modules/mono/editor/bindings_generator.cpp,13,0,13
/media/ullmann/hdd/research/engines/godot/modules/bullet/bullet_types_converter.h,4,13,17
/media/ullmann/hdd/research/engines/godot/core/math/transform.h,4,21,25
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/cache/ftcmanag.c,3,1,4
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/cache/ftcerror.h,0,8,8
/media/ullmann/hdd/research/engines/godot/drivers/gles2/rasterizer_canvas_base_gles2.h,7,2,9
/media/ullmann/hdd/research/engines/godot/drivers/gles_common/rasterizer_array.h,2,2,4
/media/ullmann/hdd/research/engines/godot/core/os/dir_access.h,2,57,59
/media/ullmann/hdd/research/engines/godot/core/method_bind.h,5,3,8
/media/ullmann/hdd/research/engines/godot/core/method_ptrcall.h,3,3,6
/media/ullmann/hdd/research/engines/godot/editor/plugins/mesh_editor_plugin.h,7,2,9
/media/ullmann/hdd/research/engines/godot/editor/plugins/mesh_instance_editor_plugin.cpp,7,0,7
/media/ullmann/hdd/research/engines/godot/scene/gui/box_container.h,1,39,40
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/kernels/bvh/bvh_builder_sah.cpp,17,0,17
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/kernels/builders/splitter.h,2,4,6
/media/ullmann/hdd/research/engines/godot/core/math/aabb.h,3,13,16
/media/ullmann/hdd/research/engines/godot/core/math/vector3.h,2,21,23
/media/ullmann/hdd/research/engines/godot/editor/editor_file_dialog.h,10,10,20
